id,position,name,first_name,last_name,twitter_username,twitter_followers,age,nationality,height,weight,minutes,goals,assists,saves,rating,team_name,goals_minutes_coeff,saves_minutes_coeff,assists_minutes_coeff,rating_minutes_coeff,titles
144,Attacker,L. Messi,Lionel Andrés,Messi Cuccittini,TeamMessi,2981402.0,34.0,Argentina,170.0,72.0,2302,23,8,0,8.32222,Barcelona,0.00999131190269331,0.0,0.0034752389226759338,0.0036152128583840136,43.0
295,Goalkeeper,Dani Cárdenas,Daniel,Cárdenas Lindez,None,,24.0,Spain,186.0,80.0,270,0,0,19,8.03333,Levante,0.0,0.07037037037037037,0.0,0.02975307407407407,0.0
399,Goalkeeper,Ángel Jiménez,Ángel,Jiménez,None,,19.0,Spain,,,90,0,0,7,8.0,Granada CF,0.0,0.07777777777777778,0.0,0.08888888888888889,0.0
68,Midfielder,T. Kroos,Toni,Kroos,ToniKroos,8938851.0,31.0,Germany,183.0,76.0,1959,2,8,0,7.71154,Real Madrid,0.0010209290454313426,0.0,0.00408371618172537,0.003936467585502808,28.0
490,Goalkeeper,Juan Pérez,Juan Manuel,Pérez Ruiz,None,,25.0,Spain,187.0,83.0,90,0,0,3,7.7,Osasuna,0.0,0.03333333333333333,0.0,0.08555555555555555,1.0
283,Attacker,Gerard Moreno,Gerard,Moreno Balagueró,None,,29.0,Spain,180.0,77.0,2068,19,5,0,7.68333,Villarreal,0.00918762088974855,0.0,0.0024177949709864605,0.0037153433268858798,1.0
354,Attacker,Iago Aspas,Iago,Aspas Juncal,None,,34.0,Spain,176.0,67.0,2188,10,10,0,7.528,Celta Vigo,0.004570383912248629,0.0,0.004570383912248629,0.0034405850091407675,1.0
72,Attacker,K. Benzema,Karim,Benzema,Benzema,12242696.0,34.0,France,185.0,81.0,2204,18,6,0,7.448,Real Madrid,0.008166969147005444,0.0,0.0027223230490018148,0.0033793103448275866,29.0
67,Midfielder,Casemiro,Carlos Henrique,Casimiro,None,,29.0,Brazil,185.0,84.0,2204,5,2,0,7.36923,Real Madrid,0.002268602540834846,0.0,0.0009074410163339383,0.003343570780399274,19.0
264,Midfielder,Dani Parejo,Daniel,Parejo Muñoz,None,,32.0,Spain,182.0,74.0,2399,3,2,0,7.31481,Villarreal,0.0012505210504376823,0.0,0.0008336807002917883,0.0030491079616506876,3.0
109,Attacker,L. Suárez,Luis Alberto,Suárez Díaz,LuisSuarez9,16770274.0,34.0,Uruguay,182.0,86.0,2057,19,2,0,7.30769,Atletico Madrid,0.009236752552260573,0.0,0.0009722897423432182,0.0035525960136120562,23.0
397,Defender,Sergio Barcia,Sergio,Barcia Laranxeira,None,,21.0,Spain,,,90,0,0,0,7.3,Granada CF,0.0,0.0,0.0,0.0811111111111111,0.0
679,Attacker,Jony Carmona,Jonatan,Carmona Alamo,None,,20.0,Spain,,,74,0,0,0,7.3,Elche,0.0,0.0,0.0,0.09864864864864864,0.0
371,Attacker,Iñigo Vicente,Iñigo,Vicente Elorduy,None,,23.0,Spain,178.0,67.0,31,0,0,0,7.3,Athletic Club,0.0,0.0,0.0,0.23548387096774193,1.0
46,Defender,Sergio Ramos,Sergio,Ramos García,SergioRamos,18369774.0,35.0,Spain,184.0,82.0,1277,2,0,0,7.29333,Real Madrid,0.0015661707126076742,0.0,0.0,0.005711299921691464,27.0
124,Defender,Sergi Roberto,Sergi,Roberto Carnicer,SergiRoberto10,2672094.0,29.0,Spain,178.0,68.0,650,1,2,0,7.2875,Barcelona,0.0015384615384615385,0.0,0.003076923076923077,0.01121153846153846,32.0
85,Defender,K. Trippier,Kieran,Trippier,None,,31.0,England,178.0,71.0,1710,0,6,0,7.26842,Atletico Madrid,0.0,0.0,0.0035087719298245615,0.004250538011695906,1.0
157,Attacker,Ansu Fati,Anssumane,Fati,None,,19.0,Spain,178.0,66.0,437,4,0,0,7.25714,Barcelona,0.009153318077803204,0.0,0.0,0.016606727688787185,1.0
69,Midfielder,L. Modrić,Luka,Modrić,None,,36.0,Croatia,172.0,66.0,2151,3,3,0,7.24643,Real Madrid,0.001394700139470014,0.0,0.001394700139470014,0.0033688656438865643,23.0
309,Midfielder,Campaña,José Ángel,Gómez Campaña,None,,28.0,Spain,179.0,70.0,747,1,2,0,7.24444,Levante,0.0013386880856760374,0.0,0.002677376171352075,0.009698045515394913,3.0
215,Attacker,Mikel Oyarzabal,Mikel,Oyarzabal Ugarte,None,,24.0,Spain,181.0,78.0,1742,10,6,0,7.2375,Real Sociedad,0.0057405281285878304,0.0,0.003444316877152698,0.004154707233065442,2.0
472,Midfielder,Carlos Soler,Carlos,Soler Barragán,None,,24.0,Spain,180.0,76.0,2043,7,5,0,7.23333,Valencia,0.0034263338228095936,0.0,0.0024473813020068525,0.0035405433186490452,2.0
71,Midfielder,Lucas Vázquez,Lucas,Vázquez Iglesias,None,,30.0,Spain,173.0,70.0,1808,2,4,0,7.23043,Real Madrid,0.0011061946902654867,0.0,0.0022123893805309734,0.0039991316371681416,16.0
229,Midfielder,Sergio Canales,Sergio,Canales Madrazo,None,,30.0,Spain,176.0,65.0,1872,7,6,0,7.22609,Real Betis,0.0037393162393162395,0.0,0.003205128205128205,0.003860090811965812,3.0
130,Midfielder,F. de Jong,Frenkie,de Jong,None,,24.0,Netherlands,180.0,74.0,2454,3,4,0,7.22414,Barcelona,0.0012224938875305623,0.0,0.0016299918500407497,0.002943822330888346,4.0
171,Defender,Navas,Jesús,Navas González,None,,36.0,Spain,172.0,60.0,2120,0,6,0,7.21538,Sevilla,0.0,0.0,0.002830188679245283,0.0034034811320754715,12.0
54,Defender,Llorente,Diego Javier,Llorente Ríos,None,,28.0,Spain,186.0,75.0,90,0,0,0,7.2,Real Sociedad,0.0,0.0,0.0,0.08,5.0
141,Attacker,A. Griezmann,Antoine,Griezmann,None,,30.0,France,176.0,73.0,1894,8,6,0,7.18889,Barcelona,0.004223864836325237,0.0,0.0031678986272439284,0.003795612460401267,9.0
121,Defender,Jordi Alba,Jordi,Alba Ramos,JordiAlba,2417227.0,32.0,Spain,170.0,68.0,2265,3,4,0,7.18462,Barcelona,0.0013245033112582781,0.0,0.0017660044150110375,0.00317201766004415,23.0
151,Goalkeeper,Y. Bounou,Yassine,Bounou,None,,30.0,Morocco,192.0,78.0,2250,1,0,67,7.16,Sevilla,0.00044444444444444447,0.029777777777777778,0.0,0.003182222222222222,4.0
146,Defender,J. Koundé,Jules,Koundé,None,,23.0,France,178.0,70.0,2170,1,1,0,7.156,Sevilla,0.0004608294930875576,0.0,0.0004608294930875576,0.0032976958525345623,1.0
726,Attacker,Kike,Enrique,García Martínez,None,,32.0,Spain,186.0,79.0,2328,8,2,0,7.15,Eibar,0.003436426116838488,0.0,0.000859106529209622,0.003071305841924399,1.0
