id,league,region,season,name
4,UEFA Super Cup,Europe,2018/2019,Diego da Silva Costa
5,UEFA Europa League,Europe,2017/2018,Diego da Silva Costa
8,Premier League,England,2016/2017,Diego da Silva Costa
10,Premier League,England,2014/2015,Diego da Silva Costa
11,League Cup,England,2014/2015,Diego da Silva Costa
14,La Liga,Spain,2013/2014,Diego da Silva Costa
15,Copa del Rey,Spain,2012/2013,Diego da Silva Costa
16,UEFA Super Cup,Europe,2012/2013,Diego da Silva Costa
17,UEFA Super Cup,Europe,2010/2011,Diego da Silva Costa
21,Super Cup,Portugal,2018/2019,Hernâni Jorge Santos Fortes
23,Primeira Liga,Portugal,2017/2018,Hernâni Jorge Santos Fortes
25,Super League 1,Greece,2015/2016,Hernâni Jorge Santos Fortes
29,Taça de Portugal,Portugal,2012/2013,Hernâni Jorge Santos Fortes
30,Super Cup,Spain,2016/2017,W. Kaptoum
32,Trofeo Joan Gamper,World,2016,W. Kaptoum
33,La Liga,Spain,2015/2016,W. Kaptoum
34,Copa del Rey,Spain,2015/2016,W. Kaptoum
36,FIFA Club World Cup,World,2015 Japan,W. Kaptoum
37,UEFA Youth League,Europe,2013/2014,W. Kaptoum
42,CONMEBOL Sudamericana,South-America,2010,Diego Matías Rodríguez
45,J.League Cup / Copa Sudamericana Championship,World,2018,J. Sánchez
46,CONMEBOL Sudamericana,South-America,2017,J. Sánchez
50,Liga Profesional Argentina,Argentina,2011/2012 Apertura,J. Sánchez
51,Copa Argentina,Argentina,2011/2012,J. Sánchez
54,Supercopa de Catalunya,Spain,2016,José Jurado
55,Super Cup,Germany,2011/2012,José Jurado
56,DFB Pokal,Germany,2010/2011,José Jurado
57,UEFA Super Cup,Europe,2010/2011,José Jurado
59,UEFA Europa League,Europe,2009/2010,José Jurado
62,Super Cup,Spain,2003/2004,José Jurado
65,Copa Colombia,Colombia,2018,S. Lucumí
67,Florida Cup,World,2018,S. Lucumí
68,Primera B,Colombia,2016,S. Lucumí
72,Super Cup,Portugal,2019/2020,Tomás Tavares
74,International Champions Cup,World,2019,Tomás Tavares
79,Copa del Rey,Spain,2002/2003,Alberto Cifuentes Martínez
81,UEFA Super Cup,Europe,2018/2019,Roberto Olabe
83,UEFA Europa League,Europe,2017/2018,Roberto Olabe
84,Audi Cup,World,2017,Roberto Olabe
86,Segunda División,Spain,2019/2020,Aleksandar Jovanović
87,The Atlantic Cup,World,2018,Aleksandar Jovanović
88,Segunda División,Spain,2019/2020,Ander Bardají Maiza Lasgar
89,Segunda B,Spain,2018/2019,Ander Bardají Maiza Lasgar
92,Copa Federacion,Spain,2018/2019,Claudio Medina Ricoy
94,Trofeo Joan Gamper,World,2020,A. Vidal
96,Trofeo Joan Gamper,World,2019,A. Vidal
99,Super Cup,Spain,2018/2019,A. Vidal
100,La Liga,Spain,2018/2019,A. Vidal
101,Trofeo Joan Gamper,World,2018,A. Vidal
103,Bundesliga,Germany,2017/2018,A. Vidal
104,Super Cup,Germany,2017/2018,A. Vidal
106,Bundesliga,Germany,2016/2017,A. Vidal
107,Super Cup,Germany,2016/2017,A. Vidal
108,Copa America,South-America,2016  USA,A. Vidal
109,DFB Pokal,Germany,2015/2016,A. Vidal
110,Bundesliga,Germany,2015/2016,A. Vidal
112,Copa America,South-America,2015 Chile,A. Vidal
113,Audi Cup,World,2015,A. Vidal
116,Serie A,Italy,2014/2015,A. Vidal
117,Coppa Italia,Italy,2014/2015,A. Vidal
118,Serie A,Italy,2013/2014,A. Vidal
119,Super Cup,Italy,2013/2014,A. Vidal
120,Super Cup,Italy,2012/2013,A. Vidal
121,Serie A,Italy,2012/2013,A. Vidal
123,Serie A,Italy,2011/2012,A. Vidal
126,Primera División,Chile,2006 Clausura,A. Vidal
127,Primera División,Chile,2006 Apertura,A. Vidal
128,1. HNL,Croatia,2019/2020,D. Kądzior
129,Super Cup,Croatia,2019/2020,D. Kądzior
130,1. HNL,Croatia,2018/2019,D. Kądzior
134,UEFA Europa League,Europe,2019/2020,Javier Vázquez López
142,Emirates Cup,World,2019,Y. Koné
144,Algarve Football Cup,Europe,2018,Y. Koné
148,UEFA U21 Championship,Europe,2019 Italy,Borja Mayoral
150,Super Cup,Spain,2017/2018,Borja Mayoral
151,UEFA Champions League,Europe,2017/2018,Borja Mayoral
152,UEFA Super Cup,Europe,2017/2018,Borja Mayoral
153,FIFA Club World Cup,World,2017 UAE,Borja Mayoral
156,UEFA Champions League,Europe,2015/2016,Borja Mayoral
157,UEFA U19 Championship,Europe,2015 Greece,Borja Mayoral
161,Segunda División,Spain,2019/2020,Enrique Hermoso Gómez
162,Segunda División,Spain,2017/2018,Enrique Hermoso Gómez
163,Segunda División,Spain,2019/2020,Juan Sebastián Peñaloza Ragga
164,Super Cup,Italy,2019/2020,B. Adekanye
167,Segunda División,Spain,2015/2016,Asier Benito Sasiain
169,Trofeo Joan Gamper,World,2019,Javier Enrique Delgado Saverio
170,La Liga,Spain,2018/2019,Javier Enrique Delgado Saverio
172,UEFA Youth League,Europe,2017/2018,Javier Enrique Delgado Saverio
176,UEFA Super Cup,Europe,2018/2019,J. Oblak
178,UEFA Europa League,Europe,2017/2018,J. Oblak
179,Audi Cup,World,2017,J. Oblak
181,Super Cup,Spain,2014/2015,J. Oblak
182,Primeira Liga,Portugal,2013/2014,J. Oblak
183,Taça de Portugal,Portugal,2013/2014,J. Oblak
184,Taça da Liga,Portugal,2013/2014,J. Oblak
187,China Cup,World,2019,J. Giménez
190,UEFA Super Cup,Europe,2018/2019,J. Giménez
191,China Cup,World,2018,J. Giménez
193,UEFA Europa League,Europe,2017/2018,J. Giménez
194,Audi Cup,World,2017,J. Giménez
196,Super Cup,Spain,2014/2015,J. Giménez
197,La Liga,Spain,2013/2014,J. Giménez
204,UEFA Super Cup,Europe,2018/2019,S. Savić
206,UEFA Europa League,Europe,2017/2018,S. Savić
207,Audi Cup,World,2017,S. Savić
210,Community Shield,England,2012/2013,S. Savić
211,Premier League,England,2011/2012,S. Savić
213,Super Liga,Serbia,2010/2011,S. Savić
214,Cup,Serbia,2010/2011,S. Savić
218,UEFA Super Cup,Europe,2018/2019,T. Partey
220,UEFA Europa League,Europe,2017/2018,T. Partey
221,Audi Cup,World,2017,T. Partey
223,Copa del Rey,Spain,2012/2013,T. Partey
224,Trophée des Champions,France,2020/2021,Rafinha
225,Trofeo Joan Gamper,World,2020,Rafinha
227,Trofeo Joan Gamper,World,2019,Rafinha
228,La Liga,Spain,2018/2019,Rafinha
229,Super Cup,Spain,2018/2019,Rafinha
231,Trofeo Joan Gamper,World,2018,Rafinha
233,Trofeo Joan Gamper,World,2017,Rafinha
234,Copa del Rey,Spain,2016/2017,Rafinha
236,Super Cup,Spain,2016/2017,Rafinha
237,Olympics,World,2016 Rio de Janeiro,Rafinha
239,Trofeo Joan Gamper,World,2016,Rafinha
240,La Liga,Spain,2015/2016,Rafinha
242,Copa del Rey,Spain,2015/2016,Rafinha
243,UEFA Super Cup,Europe,2015/2016,Rafinha
244,FIFA Club World Cup,World,2015 Japan,Rafinha
245,UEFA Champions League,Europe,2014/2015,Rafinha
246,Copa del Rey,Spain,2014/2015,Rafinha
247,La Liga,Spain,2014/2015,Rafinha
248,World Youth Festival Toulon,World,2013,Rafinha
250,La Liga,Spain,2012/2013,Rafinha
251,Super Cup,Spain,2011/2012,Rafinha
252,Copa del Rey,Spain,2011/2012,Rafinha
254,UEFA Super Cup,Europe,2011/2012,Rafinha
255,FIFA Club World Cup,World,2011 Japan,Rafinha
256,Audi Cup,World,2011,Rafinha
260,International Champions Cup,World,2018,K. Trippier
268,UEFA Europa League,Europe,2017/2018,Š. Vrsaljko
269,Audi Cup,World,2017,Š. Vrsaljko
270,Super Cup,Croatia,2013/2014,Š. Vrsaljko
271,1. HNL,Croatia,2012/2013,Š. Vrsaljko
272,1. HNL,Croatia,2011/2012,Š. Vrsaljko
273,Cup,Croatia,2011/2012,Š. Vrsaljko
274,1. HNL,Croatia,2010/2011,Š. Vrsaljko
275,Cup,Croatia,2010/2011,Š. Vrsaljko
276,1. HNL,Croatia,2009/2010,Š. Vrsaljko
282,Super Cup,Portugal,2018/2019,Felipe
284,Primeira Liga,Portugal,2017/2018,Felipe
286,Serie A,Brazil,2015,Felipe
287,CONMEBOL Recopa,South-America,2013/2014,Felipe
288,Paulista A1,Brazil,2013,Felipe
289,FIFA Club World Cup,World,2012 Japan,Felipe
290,CONMEBOL Libertadores,South-America,2012,Felipe
291,La Liga,Spain,2019/2020,J. Rodríguez
292,Super Cup,Spain,2019/2020,J. Rodríguez
293,Bundesliga,Germany,2018/2019,J. Rodríguez
294,Super Cup,Germany,2018/2019,J. Rodríguez
295,DFB Pokal,Germany,2018/2019,J. Rodríguez
296,Bundesliga,Germany,2017/2018,J. Rodríguez
297,Super Cup,Germany,2017/2018,J. Rodríguez
299,La Liga,Spain,2016/2017,J. Rodríguez
300,UEFA Super Cup,Europe,2016/2017,J. Rodríguez
301,UEFA Champions League,Europe,2016/2017,J. Rodríguez
302,FIFA Club World Cup,World,2016 Japan,J. Rodríguez
304,UEFA Champions League,Europe,2015/2016,J. Rodríguez
307,UEFA Super Cup,Europe,2014/2015,J. Rodríguez
309,FIFA Club World Cup,World,2014 Morocco,J. Rodríguez
311,Super Cup,Portugal,2012/2013,J. Rodríguez
313,Primeira Liga,Portugal,2012/2013,J. Rodríguez
314,Super Cup,Portugal,2011/2012,J. Rodríguez
315,Primeira Liga,Portugal,2011/2012,J. Rodríguez
317,Super Cup,Portugal,2010/2011,J. Rodríguez
318,Taça de Portugal,Portugal,2010/2011,J. Rodríguez
319,Primeira Liga,Portugal,2010/2011,J. Rodríguez
320,UEFA Europa League,Europe,2010/2011,J. Rodríguez
321,Liga Profesional Argentina,Argentina,2009/2010 Apertura,J. Rodríguez
323,Taça de Portugal,Portugal,2018/2019,A. Diaby
324,Taça da Liga,Portugal,2018/2019,A. Diaby
325,First Division A,Belgium,2017/2018,A. Diaby
327,Super Cup,Belgium,2016/2017,A. Diaby
328,First Division A,Belgium,2015/2016,A. Diaby
337,Paranaense 1,Brazil,2019,Renan Lodi
338,CONMEBOL Sudamericana,South-America,2018,Renan Lodi
339,Paranaense 1,Brazil,2018,Renan Lodi
347,UEFA Super Cup,Europe,2016/2017,M. Ødegaard
348,FIFA Club World Cup,World,2016 Japan,M. Ødegaard
350,UEFA Champions League,Europe,2015/2016,M. Ødegaard
355,UEFA Super Cup,Europe,2014/2015,Llorente
356,FIFA Club World Cup,World,2014 Morocco,Llorente
357,Copa del Rey,Spain,2013/2014,Llorente
358,UEFA Champions League,Europe,2013/2014,Llorente
359,International Champions Cup,World,2013,Llorente
362,Sudamericano U20,South-America,Peru 2011,Willian José
363,UEFA Champions League,Europe,2013/2014,Willian José
364,Copa del Rey,Spain,2013/2014,Willian José
365,CONMEBOL Sudamericana,South-America,2012,Willian José
366,U20 World Cup,World,2011 Colombia,Willian José
367,1. Lig,Turkey,2014/2015,O. Yokuşlu
369,UEFA Europa League,Europe,2017/2018,Miguel San Román
370,UEFA U19 Championship,Europe,2019 Armenia,Ricard Sánchez
375,UEFA Super Cup,Europe,2018/2019,T. Lemar
376,World Cup,World,2018 Russia,T. Lemar
380,Ligue 1,France,2016/2017,T. Lemar
382,World Youth Festival Toulon,World,2015,T. Lemar
386,UEFA Super Cup,Europe,2018/2019,Vitolo
388,UEFA Europa League,Europe,2017/2018,Vitolo
391,Supercopa Euroamericana,World,2016,Vitolo
393,UEFA Europa League,Europe,2015/2016,Vitolo
396,UEFA Europa League,Europe,2014/2015,Vitolo
398,UEFA Europa League,Europe,2013/2014,Vitolo
402,UEFA Super Cup,Europe,2018/2019,Toni Moya
403,Copa del Rey Juvenil,Spain,2018,Toni Moya
405,División de Honor Juvenil,Spain,2017/2018,Toni Moya
406,UEFA Europa League,Europe,2017/2018,Toni Moya
408,Audi Cup,World,2017,Toni Moya
412,UEFA Super Cup,Europe,2018/2019,Saúl
414,UEFA Europa League,Europe,2017/2018,Saúl
416,Audi Cup,World,2017,Saúl
418,Super Cup,Spain,2014/2015,Saúl
419,Copa del Rey,Spain,2012/2013,Saúl
420,UEFA Super Cup,Europe,2012/2013,Saúl
421,UEFA Europa League,Europe,2011/2012,Saúl
425,UEFA Super Cup,Europe,2018/2019,Koke
426,UEFA Europa League,Europe,2017/2018,Koke
428,Audi Cup,World,2017,Koke
430,Super Cup,Spain,2014/2015,Koke
433,La Liga,Spain,2013/2014,Koke
434,UEFA U21 Championship,Europe,2013 Israel,Koke
435,Copa del Rey,Spain,2012/2013,Koke
436,UEFA Super Cup,Europe,2012/2013,Koke
437,UEFA Europa League,Europe,2011/2012,Koke
